datetime,timestamp,solar_power,solar_voltage,solar_current,solar_temperature,wind_power,wind_speed,wind_rpm,battery_soc,battery_soh,battery_voltage,battery_current,battery_temperature,grid_status,grid_voltage,grid_frequency,grid_power,load_demand,load_current,load_voltage,inverter_status,inverter_efficiency,inverter_output_power,ems_action,electricity_cost
2026-05-28 16:31:35,1779966095.0977778,23.43,393.54,59.55,30.96,2.11,6.13,239.3,49.57,99.8,361.43,-104.34,46.17,1,401.33,49.99,-20.0,43.25,186.84,231.47,RUNNING,99.0,43.25,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:36,1779966096.1137395,23.63,395.32,59.76,31.13,2.0,6.08,236.9,49.56,99.8,361.7,-99.14,49.13,1,401.01,49.98,-20.0,41.49,180.75,229.52,RUNNING,99.0,41.49,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:37,1779966097.125669,24.11,396.92,60.75,30.69,6.5,7.56,302.6,49.56,99.8,362.22,-89.5,51.22,1,400.13,50.009,-20.0,43.03,188.04,228.86,RUNNING,99.0,43.03,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:38,1779966098.1420102,24.2,395.76,61.15,31.13,5.06,7.19,286.4,49.55,99.8,361.93,-94.8,53.59,1,397.68,50.019,-20.0,43.57,190.34,228.9,RUNNING,99.0,43.57,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:39,1779966099.162604,24.68,396.68,62.21,30.73,2.44,6.29,246.1,49.55,99.8,362.01,-93.2,55.72,1,401.54,50.013,-20.0,40.86,176.76,231.18,RUNNING,99.0,40.86,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:40,1779966100.1745372,24.33,394.31,61.7,30.92,4.31,6.98,276.7,49.54,99.8,361.73,-98.31,58.14,1,402.11,50.0,-20.0,44.2,190.96,231.49,RUNNING,99.0,44.2,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:41,1779966101.1912408,24.69,396.65,62.26,30.79,5.2,7.23,288.2,49.54,99.8,362.38,-86.1,59.53,1,399.34,49.988,-20.0,41.09,178.98,229.59,RUNNING,99.0,41.09,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:42,1779966102.2035537,25.06,395.33,63.39,30.51,6.24,7.5,299.8,49.53,99.8,362.35,-86.52,60.88,1,397.75,50.017,-20.0,42.65,184.92,230.66,RUNNING,99.0,42.65,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:44,1779966104.229174,25.15,395.27,63.62,30.58,2.98,6.51,256.2,49.53,99.8,361.57,-100.97,61.74,1,401.03,50.02,-20.0,44.64,192.95,231.34,RUNNING,99.0,44.64,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:45,1779966105.243798,25.36,395.44,64.12,30.81,5.81,7.39,295.2,49.52,99.8,362.34,-86.63,62.99,1,401.31,50.0,-20.0,42.56,184.54,230.63,RUNNING,99.0,42.56,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:46,1779966106.2600715,24.67,395.16,62.44,30.48,5.72,7.37,294.2,49.52,99.8,362.39,-85.6,64.11,1,401.34,49.992,-20.0,41.41,180.35,229.61,RUNNING,99.0,41.41,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:47,1779966107.28079,24.14,395.56,61.02,31.36,4.92,7.16,284.7,49.51,99.8,362.1,-90.86,65.0,1,399.07,50.005,-20.0,41.96,182.8,229.52,RUNNING,99.0,41.96,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:48,1779966108.298243,24.7,396.09,62.36,30.97,1.25,5.63,216.9,49.51,99.8,361.6,-100.25,65.0,1,400.19,50.01,-20.0,42.2,182.78,230.86,RUNNING,99.0,42.2,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:49,1779966109.3109925,23.99,396.85,60.45,31.27,4.35,6.99,277.2,49.5,99.8,361.62,-99.63,65.0,1,401.14,50.001,-20.0,44.37,193.94,228.77,RUNNING,99.0,44.37,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:50,1779966110.3266098,23.35,394.82,59.14,31.12,5.47,7.31,291.3,49.5,99.8,362.09,-90.78,65.0,1,398.1,50.014,-20.0,41.69,180.99,230.33,RUNNING,99.0,41.69,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:52,1779966112.3599205,23.52,395.83,59.41,30.42,3.34,6.65,262.4,49.49,99.8,361.62,-99.53,65.0,1,397.36,50.008,-20.0,42.85,185.24,231.33,RUNNING,99.0,42.85,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:53,1779966113.3721526,23.59,393.22,59.98,30.34,4.34,6.98,277.1,49.49,99.8,361.87,-94.79,65.0,1,397.15,50.004,-20.0,42.23,184.37,229.04,RUNNING,99.0,42.23,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:54,1779966114.3875377,23.76,395.06,60.16,30.53,3.5,6.71,264.8,49.48,99.8,361.54,-100.73,65.0,1,401.86,49.988,-20.0,43.68,190.79,228.93,RUNNING,99.0,43.68,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:55,1779966115.3986702,23.08,394.56,58.49,30.86,5.31,7.26,289.4,49.48,99.8,361.91,-93.78,65.0,1,397.55,50.008,-20.0,42.33,183.13,231.16,RUNNING,99.0,42.33,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:56,1779966116.413333,22.95,393.3,58.36,31.1,1.88,6.02,234.0,49.47,99.8,361.47,-101.89,65.0,1,398.75,49.982,-20.0,41.66,181.91,229.04,RUNNING,99.0,41.66,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:57,1779966117.4283073,22.38,393.72,56.83,30.58,4.04,6.89,272.9,49.46,99.8,361.3,-105.04,65.0,1,402.87,50.009,-20.0,44.37,193.76,228.97,RUNNING,99.0,44.37,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:31:58,1779966118.444042,21.95,396.81,55.32,31.17,6.1,7.46,298.4,49.46,99.8,361.69,-97.54,65.0,1,398.71,49.985,-20.0,43.33,189.08,229.18,RUNNING,99.0,43.33,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:00,1779966120.469808,22.17,396.69,55.89,30.92,2.35,6.25,244.4,49.45,99.8,360.95,-111.29,65.0,1,399.77,50.017,-20.0,44.69,195.36,228.79,RUNNING,99.0,44.69,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:01,1779966121.4842129,22.84,393.06,58.12,31.01,3.49,6.7,264.6,49.45,99.8,361.44,-101.98,65.0,1,399.15,49.989,-20.0,43.19,187.38,230.5,RUNNING,99.0,43.19,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:02,1779966122.502597,22.66,393.54,57.57,30.73,1.88,6.01,234.0,49.44,99.8,361.21,-106.37,65.0,1,402.65,49.983,-20.0,42.96,186.19,230.74,RUNNING,99.0,42.96,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:03,1779966123.5152059,22.98,395.53,58.11,30.91,2.0,6.08,236.9,49.43,99.8,361.16,-107.18,65.0,1,401.84,49.99,-20.0,43.69,190.78,229.03,RUNNING,99.0,43.69,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:04,1779966124.526258,23.4,393.89,59.41,31.24,6.57,7.58,303.4,49.43,99.8,361.91,-93.01,65.0,1,401.99,49.989,-20.0,43.63,190.62,228.89,RUNNING,99.0,43.63,RL_OPTIMIZED_DISPATCH,0.0
2026-05-28 16:32:05,1779966125.5392225,23.2,394.69,58.79,31.07,5.73,7.37,294.3,49.42,99.8,361.9,-93.15,65.0,1,401.19,49.983,-20.0,42.64,185.96,229.29,RUNNING,99.0,42.64,RL_OPTIMIZED_DISPATCH,0.0
